DATA,ARS_BRL
2025-07-25,0.0375
2025-07-24,0.03759
2025-07-23,0.03789
2025-07-22,0.03805
2025-07-21,0.03776
2025-07-18,0.03733
2025-07-17,0.03752
2025-07-16,0.03762
2025-07-15,0.03735
2025-07-14,0.03763
2025-07-11,0.03782
2025-07-10,0.03784
2025-07-09,0.03727
2025-07-08,0.03716
2025-07-07,0.03739
2025-07-04,0.03742
2025-07-03,0.03739
2025-07-02,0.03791
2025-07-01,0.03796
2025-06-30,0.03785
2025-06-27,0.03782
2025-06-26,0.0382
2025-06-25,0.03806
2025-06-24,0.03791
2025-06-23,0.03769
2025-06-20,0.03765
2025-06-18,0.03795
2025-06-17,0.03776
2025-06-16,0.03824
2025-06-13,0.03863
2025-06-12,0.03855
2025-06-11,0.03833
2025-06-10,0.03833
2025-06-09,0.03862
2025-06-06,0.0386
2025-06-05,0.03889
2025-06-04,0.03941
2025-06-03,0.03938
2025-06-02,0.03987
2025-05-30,0.03958
2025-05-29,0.03924
2025-05-28,0.03924
2025-05-27,0.03915
2025-05-26,0.03963
2025-05-23,0.03991
2025-05-22,0.03918
2025-05-21,0.03937
2025-05-20,0.03912
2025-05-19,0.03902
2025-05-16,0.03898
2025-05-15,0.03867
2025-05-14,0.03828
2025-05-13,0.03807
2025-05-12,0.03836
2025-05-09,0.03893
2025-05-08,0.03908
2025-05-07,0.03998
2025-05-06,0.04006
2025-05-05,0.03925
2025-05-02,0.03901
2025-04-30,0.03968
2025-04-29,0.03968
2025-04-28,0.03971
2025-04-25,0.03953
2025-04-24,0.03977
2025-04-23,0.03987
2025-04-22,0.0408
2025-04-17,0.04113
2025-04-16,0.04124
2025-04-15,0.04101
2025-04-14,0.04086
2025-04-11,0.0409
2025-04-10,0.04094
2025-04-09,0.04176
2025-04-08,0.04038
2025-04-07,0.03978
2025-04-04,0.03958
2025-04-03,0.03838
2025-04-02,0.03794
2025-04-01,0.03818
2025-03-31,0.0383
2025-03-28,0.03836
2025-03-27,0.03806
2025-03-26,0.03802
2025-03-25,0.03805
2025-03-24,0.03807
2025-03-21,0.03842
2025-03-20,0.03804
2025-03-19,0.03776
2025-03-18,0.03802
2025-03-17,0.03842
2025-03-14,0.03865
