DATA,CHF_BRL
2025-07-25,0.03751
2025-07-24,0.0376
2025-07-23,0.0379
2025-07-22,0.03806
2025-07-21,0.03777
2025-07-18,0.03734
2025-07-17,0.03752
2025-07-16,0.03763
2025-07-15,0.03736
2025-07-14,0.03764
2025-07-11,0.03784
2025-07-10,0.03785
2025-07-09,0.03728
2025-07-08,0.03718
2025-07-07,0.0374
2025-07-04,0.03742
2025-07-03,0.0374
2025-07-02,0.03792
2025-07-01,0.03797
2025-06-30,0.03785
2025-06-27,0.03784
2025-06-26,0.0382
2025-06-25,0.03807
2025-06-24,0.03792
2025-06-23,0.0377
2025-06-20,0.03766
2025-06-18,0.03796
2025-06-17,0.03776
2025-06-16,0.03825
2025-06-13,0.03864
2025-06-12,0.03857
2025-06-11,0.03834
2025-06-10,0.03834
2025-06-09,0.03863
2025-06-06,0.03862
2025-06-05,0.0389
2025-06-04,0.03942
2025-06-03,0.03939
2025-06-02,0.03989
2025-05-30,0.03959
2025-05-29,0.03926
2025-05-28,0.03926
2025-05-27,0.03916
2025-05-26,0.03964
2025-05-23,0.03992
2025-05-22,0.0392
2025-05-21,0.03937
2025-05-20,0.03912
2025-05-19,0.03904
2025-05-16,0.03898
2025-05-15,0.03868
2025-05-14,0.03828
2025-05-13,0.03808
2025-05-12,0.03837
2025-05-09,0.03894
2025-05-08,0.03909
2025-05-07,0.03999
2025-05-06,0.04007
2025-05-05,0.03925
2025-05-02,0.03903
2025-04-30,0.03969
2025-04-29,0.03968
2025-04-28,0.03973
2025-04-25,0.03955
2025-04-24,0.03978
2025-04-23,0.03987
2025-04-22,0.04081
2025-04-17,0.04114
2025-04-16,0.04125
2025-04-15,0.04103
2025-04-14,0.04087
2025-04-11,0.04091
2025-04-10,0.04095
2025-04-09,0.04177
2025-04-08,0.04038
2025-04-07,0.0398
2025-04-04,0.0396
2025-04-03,0.03839
2025-04-02,0.03796
2025-04-01,0.03819
2025-03-31,0.03831
2025-03-28,0.03838
2025-03-27,0.03807
2025-03-26,0.03803
2025-03-25,0.03806
2025-03-24,0.03809
2025-03-21,0.03842
2025-03-20,0.03805
2025-03-19,0.03777
2025-03-18,0.03804
2025-03-17,0.03843
2025-03-14,0.03866
2025-03-13,0.03935
2025-03-12,0.03929
2025-03-11,0.03956
2025-03-10,0.03937
2025-03-07,0.03911
2025-03-06,0.03878
2025-03-05,0.03888
2025-02-28,0.03882
2025-02-27,0.03884
2025-02-26,0.03864
2025-02-25,0.03876
2025-02-24,0.03835
2025-02-21,0.03814
2025-02-20,0.03814
2025-02-19,0.0377
2025-02-18,0.03757
2025-02-17,0.03773
2025-02-14,0.03765
2025-02-13,0.03774
2025-02-12,0.03737
2025-02-11,0.0379
2025-02-10,0.03813
2025-02-07,0.03802
2025-02-06,0.03814
2025-02-05,0.03812
2025-02-04,0.03746
2025-02-03,0.03792
2025-01-31,0.03765
2025-01-30,0.03828
2025-01-29,0.03781
2025-01-28,0.03785
2025-01-27,0.0384
2025-01-24,0.03784
2025-01-23,0.03804
2025-01-22,0.03816
2025-01-21,0.03892
2025-01-20,0.03886
2025-01-17,0.03883
2025-01-16,0.03881
2025-01-15,0.03864
2025-01-14,0.03841
2025-01-13,0.03878
2025-01-10,0.0387
2025-01-09,0.03855
2025-01-08,0.03872
2025-01-07,0.03846
2025-01-06,0.03881
2025-01-03,0.03911
2025-01-02,0.03952
2024-12-31,0.03947
2024-12-30,0.0394
2024-12-27,0.03935
2024-12-26,0.03901
2024-12-24,0.03915
2024-12-23,0.03922
2024-12-20,0.03884
2024-12-19,0.03922
2024-12-18,0.04001
2024-12-17,0.04018
2024-12-16,0.03924
2024-12-13,0.03931
2024-12-12,0.03901
2024-12-11,0.03956
2024-12-10,0.03979
2024-12-09,0.04011
