DATA,CNY_BRL
2025-07-25,0.871
2025-07-24,0.8707
2025-07-23,0.8741
2025-07-22,0.8769
2025-07-21,0.8723
2025-07-18,0.8654
2025-07-17,0.8661
2025-07-16,0.8682
2025-07-15,0.8652
2025-07-14,0.8694
2025-07-11,0.8734
2025-07-10,0.8684
2025-07-09,0.8571
2025-07-08,0.8563
2025-07-07,0.8579
2025-07-04,0.8538
2025-07-03,0.8542
2025-07-02,0.8614
2025-07-01,0.8603
2025-06-30,0.8609
2025-06-27,0.8606
2025-06-26,0.866
2025-06-25,0.8633
2025-06-24,0.8548
2025-06-23,0.8541
2025-06-20,0.849
2025-06-18,0.8476
2025-06-17,0.8471
2025-06-16,0.8559
2025-06-13,0.8624
2025-06-12,0.8597
2025-06-11,0.8533
2025-06-10,0.8508
2025-06-09,0.854
2025-06-06,0.855
2025-06-05,0.8583
2025-06-04,0.8628
2025-06-03,0.8645
2025-06-02,0.8724
2025-05-30,0.8684
2025-05-29,0.8622
2025-05-28,0.8617
2025-05-27,0.8589
2025-05-26,0.8639
2025-05-23,0.8662
2025-05-22,0.8529
2025-05-21,0.8601
2025-05-20,0.8542
2025-05-19,0.8525
2025-05-16,0.8501
2025-05-15,0.8448
2025-05-14,0.8425
2025-05-13,0.8429
2025-05-12,0.846
2025-05-09,0.8537
2025-05-08,0.8573
2025-05-07,0.8727
2025-05-06,0.8698
2025-05-05,0.857
2025-05-02,0.8562
2025-04-30,0.8608
2025-04-29,0.8622
2025-04-28,0.8647
2025-04-25,0.8667
2025-04-24,0.8635
2025-04-23,0.8645
2025-04-22,0.8831
2025-04-17,0.8913
2025-04-16,0.8964
2025-04-15,0.888
2025-04-14,0.8888
2025-04-11,0.8909
2025-04-10,0.8861
2025-04-09,0.8958
2025-04-08,0.8677
2025-04-07,0.8607
2025-04-04,0.853
2025-04-03,0.8304
2025-04-02,0.8292
2025-04-01,0.8257
2025-03-31,0.8309
2025-03-28,0.8366
2025-03-27,0.8319
2025-03-26,0.8281
2025-03-25,0.8253
2025-03-24,0.8306
2025-03-21,0.8293
2025-03-20,0.8236
2025-03-19,0.8262
2025-03-18,0.8329
2025-03-17,0.8357
2025-03-14,0.8367
2025-03-13,0.8461
2025-03-12,0.8534
2025-03-11,0.8548
2025-03-10,0.8417
2025-03-07,0.8407
2025-03-06,0.8337
2025-03-05,0.8367
2025-02-28,0.8156
2025-02-27,0.8132
2025-02-26,0.8136
2025-02-25,0.8131
2025-02-24,0.8036
2025-02-21,0.7992
2025-02-20,0.8007
2025-02-19,0.7979
2025-02-18,0.7997
2025-02-17,0.8023
2025-02-14,0.8071
2025-02-13,0.8084
2025-02-12,0.8027
2025-02-11,0.8012
2025-02-10,0.7996
2025-02-07,0.7989
2025-02-06,0.8042
2025-02-05,0.8104
2025-02-04,0.8061
2025-02-03,0.8113
2025-01-31,0.8123
2025-01-30,0.825
2025-01-29,0.8182
2025-01-28,0.8233
2025-01-27,0.834
2025-01-24,0.8305
2025-01-23,0.8278
2025-01-22,0.8334
2025-01-21,0.8426
2025-01-20,0.8434
2025-01-17,0.8368
2025-01-16,0.8329
2025-01-15,0.8341
2025-01-14,0.8371
2025-01-13,0.8349
2025-01-10,0.8377
2025-01-09,0.8407
2025-01-08,0.8467
2025-01-07,0.8448
2025-01-06,0.8517
2025-01-03,0.8493
2025-01-02,0.8553
2024-12-31,0.863
2024-12-30,0.8619
2024-12-27,0.8663
2024-12-26,0.8603
2024-12-24,0.8581
2024-12-23,0.8585
2024-12-20,0.8473
2024-12-19,0.8604
2024-12-18,0.8652
2024-12-17,0.8682
2024-12-16,0.8525
2024-12-13,0.8495
