DATA,GBP_BRL
2025-07-25,7.4432
2025-07-24,7.4711
2025-07-23,7.5353
2025-07-22,7.533
2025-07-21,7.5077
2025-07-18,7.4541
2025-07-17,7.4766
2025-07-16,7.4801
2025-07-15,7.4466
2025-07-14,7.4692
2025-07-11,7.5247
2025-07-10,7.5211
2025-07-09,7.4209
2025-07-08,7.4075
2025-07-07,7.4414
2025-07-04,7.3817
2025-07-03,7.4016
2025-07-02,7.4262
2025-07-01,7.4822
2025-06-30,7.4893
2025-06-27,7.5124
2025-06-26,7.5857
2025-06-25,7.5525
2025-06-24,7.4804
2025-06-23,7.4482
2025-06-20,7.4011
2025-06-18,7.3928
2025-06-17,7.4031
2025-06-16,7.4967
2025-06-13,7.5659
2025-06-12,7.5261
2025-06-11,7.5087
2025-06-10,7.5052
2025-06-09,7.5638
2025-06-06,7.5702
2025-06-05,7.6028
2025-06-04,7.6431
2025-06-03,7.6656
2025-06-02,7.715
2025-05-30,7.6879
2025-05-29,7.6292
2025-05-28,7.6647
2025-05-27,7.6356
2025-05-26,7.6809
2025-05-23,7.6915
2025-05-22,7.5715
2025-05-21,7.6065
2025-05-20,7.5695
2025-05-19,7.5583
2025-05-16,7.5471
2025-05-15,7.4866
2025-05-14,7.463
2025-05-13,7.4699
2025-05-12,7.496
2025-05-09,7.5261
2025-05-08,7.5539
2025-05-07,7.6561
2025-05-06,7.6478
2025-05-05,7.5092
2025-05-02,7.4914
2025-04-30,7.5538
2025-04-29,7.5654
2025-04-28,7.5936
2025-04-25,7.5781
2025-04-24,7.5501
2025-04-23,7.5406
2025-04-22,7.6907
2025-04-17,7.7667
2025-04-16,7.7903
2025-04-15,7.7628
2025-04-14,7.6963
2025-04-11,7.6646
2025-04-10,7.6489
2025-04-09,7.7411
2025-04-08,7.5801
2025-04-07,7.4945
2025-04-04,7.4683
2025-04-03,7.3515
2025-04-02,7.3858
2025-04-01,7.3716
2025-03-31,7.4046
2025-03-28,7.4635
2025-03-27,7.4515
2025-03-26,7.3851
2025-03-25,7.3799
2025-03-24,7.4142
2025-03-21,7.3807
2025-03-20,7.3469
2025-03-19,7.3484
2025-03-18,7.3834
2025-03-17,7.4127
2025-03-14,7.4168
2025-03-13,7.5251
2025-03-12,7.5568
2025-03-11,7.5529
2025-03-10,7.4764
2025-03-07,7.4556
2025-03-06,7.4121
2025-03-05,7.4587
2025-02-28,7.3654
2025-02-27,7.3542
2025-02-26,7.334
2025-02-25,7.3114
2025-02-24,7.2271
2025-02-21,7.2088
2025-02-20,7.2078
2025-02-19,7.1884
2025-02-18,7.1885
2025-02-17,7.2004
2025-02-14,7.2291
2025-02-13,7.2374
2025-02-12,7.1764
2025-02-11,7.1698
2025-02-10,7.1636
2025-02-07,7.1515
2025-02-06,7.1846
2025-02-05,7.2606
2025-02-04,7.2276
2025-02-03,7.2848
2025-01-31,7.2456
2025-01-30,7.3569
2025-01-29,7.2882
2025-01-28,7.3268
2025-01-27,7.3948
2025-01-24,7.3568
2025-01-23,7.3209
2025-01-22,7.3518
2025-01-21,7.4353
