DATA,JPY_BRL
2025-07-25,6.5002
2025-07-24,6.4971
2025-07-23,6.5221
2025-07-22,6.544
2025-07-21,6.5091
2025-07-18,6.4578
2025-07-17,6.4631
2025-07-16,6.4775
2025-07-15,6.456
2025-07-14,6.4878
2025-07-11,6.516
2025-07-10,6.4778
2025-07-09,6.3933
2025-07-08,6.3874
2025-07-07,6.3993
2025-07-04,6.3695
2025-07-03,6.3725
2025-07-02,6.4257
2025-07-01,6.418
2025-06-30,6.4218
2025-06-27,6.4187
2025-06-26,6.4601
2025-06-25,6.4394
2025-06-24,6.376
2025-06-23,6.3692
2025-06-20,6.3298
2025-06-18,6.3208
2025-06-17,6.3163
2025-06-16,6.382
2025-06-13,6.431
2025-06-12,6.411
2025-06-11,6.3631
2025-06-10,6.345
2025-06-09,6.3693
2025-06-06,6.3745
2025-06-05,6.4005
2025-06-04,6.4336
2025-06-03,6.4466
2025-06-02,6.5072
2025-05-30,6.4758
2025-05-29,6.4295
2025-05-28,6.4246
2025-05-27,6.4029
2025-05-26,6.4426
2025-05-23,6.46
2025-05-22,6.3607
2025-05-21,6.4156
2025-05-20,6.3702
2025-05-19,6.3573
2025-05-16,6.3408
2025-05-15,6.3013
2025-05-14,6.2853
2025-05-13,6.286
2025-05-12,6.3088
2025-05-09,6.3675
2025-05-08,6.3944
2025-05-07,6.509
2025-05-06,6.4892
2025-05-05,6.3934
2025-05-02,6.3882
2025-04-30,6.4232
2025-04-29,6.4337
2025-04-28,6.453
2025-04-25,6.4684
2025-04-24,6.4459
2025-04-23,6.4541
2025-04-22,6.5907
2025-04-17,6.6534
2025-04-16,6.6928
2025-04-15,6.6262
2025-04-14,6.6346
2025-04-11,6.6495
2025-04-10,6.6119
2025-04-09,6.6883
2025-04-08,6.477
2025-04-07,6.424
2025-04-04,6.3623
2025-04-03,6.1949
2025-04-02,6.1853
2025-04-01,6.1597
2025-03-31,6.1981
2025-03-28,6.2405
2025-03-27,6.206
2025-03-26,6.1761
2025-03-25,6.1562
2025-03-24,6.1954
2025-03-21,6.1842
2025-03-20,6.1418
2025-03-19,6.1625
2025-03-18,6.211
2025-03-17,6.2333
2025-03-14,6.2408
2025-03-13,6.3112
2025-03-12,6.364
2025-03-11,6.3743
2025-03-10,6.2772
2025-03-07,6.2695
2025-03-06,6.2174
