DATA,SELIC_META
2025-07-27,15.0
2025-07-26,15.0
2025-07-25,15.0
2025-07-24,15.0
2025-07-23,15.0
2025-07-22,15.0
2025-07-21,15.0
2025-07-20,15.0
2025-07-19,15.0
2025-07-18,15.0
2025-07-17,15.0
2025-07-16,15.0
2025-07-15,15.0
2025-07-14,15.0
2025-07-13,15.0
2025-07-12,15.0
2025-07-11,15.0
2025-07-10,15.0
2025-07-09,15.0
2025-07-08,15.0
2025-07-07,15.0
2025-07-06,15.0
2025-07-05,15.0
2025-07-04,15.0
2025-07-03,15.0
2025-07-02,15.0
2025-07-01,15.0
2025-06-30,15.0
2025-06-29,15.0
2025-06-28,15.0
2025-06-27,15.0
2025-06-26,15.0
2025-06-25,15.0
2025-06-24,15.0
2025-06-23,15.0
2025-06-22,15.0
2025-06-21,15.0
2025-06-20,15.0
2025-06-19,15.0
2025-06-18,14.75
2025-06-17,14.75
2025-06-16,14.75
2025-06-15,14.75
2025-06-14,14.75
2025-06-13,14.75
2025-06-12,14.75
2025-06-11,14.75
2025-06-10,14.75
2025-06-09,14.75
2025-06-08,14.75
2025-06-07,14.75
2025-06-06,14.75
2025-06-05,14.75
2025-06-04,14.75
2025-06-03,14.75
2025-06-02,14.75
2025-06-01,14.75
2025-05-31,14.75
2025-05-30,14.75
2025-05-29,14.75
2025-05-28,14.75
2025-05-27,14.75
2025-05-26,14.75
2025-05-25,14.75
2025-05-24,14.75
2025-05-23,14.75
2025-05-22,14.75
2025-05-21,14.75
2025-05-20,14.75
2025-05-19,14.75
2025-05-18,14.75
2025-05-17,14.75
2025-05-16,14.75
2025-05-15,14.75
2025-05-14,14.75
2025-05-13,14.75
2025-05-12,14.75
2025-05-11,14.75
2025-05-10,14.75
2025-05-09,14.75
2025-05-08,14.75
2025-05-07,14.25
2025-05-06,14.25
2025-05-05,14.25
2025-05-04,14.25
2025-05-03,14.25
2025-05-02,14.25
2025-05-01,14.25
2025-04-30,14.25
2025-04-29,14.25
2025-04-28,14.25
2025-04-27,14.25
2025-04-26,14.25
2025-04-25,14.25
2025-04-24,14.25
2025-04-23,14.25
2025-04-22,14.25
2025-04-21,14.25
2025-04-20,14.25
2025-04-19,14.25
